"YYYYMMDD(운행일자)","BUS_ID(노선ID)","BUS_NM(노선)","STATION_ID(정류장ID)","STATION_NM(정류장)","TIME(승차시간구분)","HALF_HOUR(시간구간ID)","PASSN_GETON(승차총승객수)","PASSN_GETOFF(하차총승객수)"
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","20:00:00~20:59:59","30",5,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","21:00:00~21:59:59","00",0,3
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","21:00:00~21:59:59","30",2,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","22:00:00~22:59:59","00",9,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","22:00:00~22:59:59","30",5,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","23:00:00~23:59:59","30",3,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","04:00:00~04:59:59","30",0,14
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","05:00:00~05:59:59","00",0,9
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","05:00:00~05:59:59","30",0,6
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","06:00:00~06:59:59","00",0,5
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","06:00:00~06:59:59","30",1,6
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","07:00:00~07:59:59","00",0,8
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","07:00:00~07:59:59","30",1,11
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","08:00:00~08:59:59","00",2,25
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","08:00:00~08:59:59","30",0,18
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","09:00:00~09:59:59","00",0,11
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","09:00:00~09:59:59","30",0,13
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","10:00:00~10:59:59","00",1,7
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","10:00:00~10:59:59","30",2,8
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","11:00:00~11:59:59","00",0,3
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","11:00:00~11:59:59","30",0,7
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","12:00:00~12:59:59","00",3,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","12:00:00~12:59:59","30",3,5
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","13:00:00~13:59:59","00",1,6
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","13:00:00~13:59:59","30",1,6
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","14:00:00~14:59:59","00",2,5
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","14:00:00~14:59:59","30",4,5
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","15:00:00~15:59:59","00",3,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","15:00:00~15:59:59","30",6,5
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","16:00:00~16:59:59","00",7,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","16:00:00~16:59:59","30",1,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","17:00:00~17:59:59","00",1,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","17:00:00~17:59:59","30",1,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","18:00:00~18:59:59","00",2,5
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","18:00:00~18:59:59","30",7,6
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","19:00:00~19:59:59","00",6,3
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","19:00:00~19:59:59","30",4,4
"2015-10-01","11110001","100번(하계동~용산구청)","0008935","을지로4가","20:00:00~20:59:59","00",0,2
